"ID","Name","Disorder class","Type"
"D0619","Gonadal_dysgenesis","Endocrine","Disease"
"D0622","GRACILE_syndrome","Metabolic","Disease"
"D0623","Graft-versus-host_disease","Immunological","Disease"
"D0624","Graves_disease","Endocrine","Disease"
"D0625","Greenberg_dysplasia","Skeletal","Disease"
"D0626","Greig_cephalopolysyndactyly_syndrome","Skeletal","Disease"
"D0627","Griscelli_syndrome","Dermatological","Disease"
"D0628","Growth_hormone","Endocrine","Disease"
"D0630","Guttmacher_syndrome","multiple","Disease"
"D0632","Gyrate_atrophy_of_choroid_and_retina_with_ornithinemia,_B6_responsive_or_unresponsive","Metabolic","Disease"
"D0633","Hailey-Hailey_disease","Dermatological","Disease"
"D0634","Haim-Munk_syndrome","multiple","Disease"
"D0638","Hand-foot-uterus_syndrome","multiple","Disease"
"D0639","Harderoporphyrinuria","Metabolic","Disease"
"D0640","HARP_syndrome","Metabolic","Disease"
"D0641","Hartnup_disorder","Metabolic","Disease"
"D0643","Hay-Wells_syndrome","multiple","Disease"
"D0644","HDL_cholesterol_level_QTL","Metabolic","Disease"
"D0646","Hearing_loss,_low-frequency_sensorineural","Ear,Nose,Throat","Disease"
"D0647","Heart_block","Cardiovascular","Disease"
"D0648","Heinz_body_anemia","Hematological","Disease"
"D0649","HELLP_syndrome","Metabolic","Disease"
"D0650","Hemangioblastoma,_cerebellar","Cancer","Disease"
"D0651","Hemangioma","Cancer","Disease"
"D0652","Hematopoiesis,_cyclic","Hematological","Disease"
"D0653","Hematuria,_familial_benign","Renal","Disease"
"D0654","Heme_oxygenase-1_deficiency","Metabolic","Disease"
"D0656","Hemiplegic_migraine,_familial","Neurological","Disease"
"D0657","Hemochromatosis","Metabolic","Disease"
"D0659","Hemoglobin_H_disease","Hematological","Disease"
"D0660","Hemolytic_anemia","Hematological","Disease"
"D0661","Hemolytic-uremic_syndrome","Hematological","Disease"
"D0662","Hemophagocytic_lymphohistiocytosis","Hematological","Disease"
"D0663","Hemophilia","Hematological","Disease"
"D0664","Hemorrhagic_diathesis","Hematological","Disease"
"D0665","Hemosiderosis,_systemic,_due_to_aceruloplasminemia","Hematological","Disease"
"D0666","Hepatic_failure,_early_onset,_and_neurologic_disorder","Gastrointestinal","Disease"
"D0668","Hepatic_adenoma","Cancer","Disease"
"D0669","Hereditary_hemorrhagic_telangiectasia","Cardiovascular","Disease"
"D0670","Hermansky-Pudlak_syndrome","multiple","Disease"
"D0675","Heterotaxy","multiple","Disease"
"D0676","Heterotopia","Neurological","Disease"
"D0677","Hex_A_pseudodeficiency","Metabolic","Disease"
"D0679","High-molecular-weight_kininogen_deficiency","Hematological","Disease"
"D0681","Hirschsprung_disease","Gastrointestinal","Disease"
"D0682","Histidinemia","Metabolic","Disease"
"D0683","Histiocytoma","Cancer","Disease"
"D0684","HIV","Immunological","Disease"
"D0686","HMG-CoA_deficiency","Metabolic","Disease"
"D0688","Holocarboxylase_synthetase_deficiency","Metabolic","Disease"
"D0689","Holoprosencephaly","Developmental","Disease"
"D0696","Holt-Oram_syndrome","Developmental","Disease"
"D0697","Homocysteine_plasma_level","Metabolic","Disease"
"D0698","Homocystinuria","Metabolic","Disease"
"D0699","Homocystinuria-megaloblastic_anemia,_cbl_E_type","Metabolic","Disease"
"D0701","Homozygous_2p16_deletion_syndrome","multiple","Disease"
"D0702","Hoyeraal-Hreidarsson_syndrome","multiple","Disease"
"D0703","HPFH","Hematological","Disease"
"D0704","HPRT-related_gout","Metabolic","Disease"
"D0705","H._pylori_infection","Immunological","Disease"
"D0708","Huntington_disease","Neurological","Disease"
"D0710","Hyalinosis,_infantile_systemic","multiple","Disease"
"D0712","Hydrocephalus","Neurological","Disease"
"D0716","Hyperalphalipoproteinemia","Metabolic","Disease"
"D0717","Hyperammonemia","Metabolic","Disease"
"D0718","Hyperandrogenism","Endocrine","Disease"
"D0719","Hyperapobetalipoproteinemia","Metabolic","Disease"
"D0720","Hyperbilirubinemia","Gastrointestinal","Disease"
"D0721","Hypercalciuria","Renal","Disease"
"D0723","Hypercholanemia","Gastrointestinal","Disease"
"D0724","Hypercholesterolemia","Metabolic","Disease"
"D0725","Hyperekplexia","Neurological","Disease"
"D0726","Hypereosinophilic_syndrome","Hematological","Disease"
"D0727","Hyperferritinemia-cataract_syndrome","Ophthamological","Disease"
"D0728","Hyper-IgD_syndrome","Immunological","Disease"
"D0731","Hyperinsulinism","Metabolic","Disease"
"D0732","Hyperinsulinism-hyperammonemia_syndrome","Metabolic","Disease"
"D0733","Hyperkalemic_periodic_paralysis","Neurological","Disease"
"D0734","Hyperkeratotic_cutaneous_capillary-venous_malformations_associated_with_cerebral_capillary_malformations","Neurological","Disease"
"D0736","Hyperlipidemia","Metabolic","Disease"
"D0737","Hyperlipoproteinemia","Metabolic","Disease"
"D0738","Hyperlysinemia","Metabolic","Disease"
"D0739","Hypermethioninemia","Metabolic","Disease"
"D0740","Hyperornithinemia-hyperammonemia-homocitrullinemia_syndrome","Metabolic","Disease"
"D0741","Hyperostosis,_endosteal","Bone","Disease"
"D0742","Hyperoxaluria","Metabolic","Disease"
"D0743","Hyperparathyroidism","Endocrine","Disease"
"D0746","Hyperphenylalaninemia","Metabolic","Disease"
"D0748","Hyperproinsulinemia","Endocrine","Disease"
"D0749","Hyperprolinemia","Metabolic","Disease"
"D0750","Hyperproreninemia","Cardiovascular","Disease"
"D0751","Hyperprothrombinemia","Hematological","Disease"
"D0752","Hypertension","Cardiovascular","Disease"
"D0754","Hyperthroidism","Endocrine","Disease"
"D0755","Hyperthyroidism","Endocrine","Disease"
"D0757","Hypertriglyceridemia","Metabolic","Disease"
"D0758","Hypertrypsinemia","Gastrointestinal","Disease"
"D0759","Hyperuricemic_nephropathy","Renal","Disease"
"D0761","Hypoaldosteronism","Metabolic","Disease"
"D0762","Hypoalphalipoproteinemia","Metabolic","Disease"
"D0763","Hypobetalipoproteinemia","Metabolic","Disease"
"D0764","Hypocalcemia","Endocrine","Disease"
"D0765","Hypocalciuric_hypercalcemia","Endocrine","Disease"
"D0766","Hypoceruloplasminemia","Metabolic","Disease"
"D0767","Hypochondroplasia","Skeletal","Disease"
"D0768","Hypochromic_microcytic_anemia","Hematological","Disease"
"D0769","Hypodontia","Skeletal","Disease"
"D0770","Hypofibrinogenemia","Hematological","Disease"
"D0771","Hypoglobulinemia_and_absent_B_cells","Immunological","Disease"
"D0772","Hypoglycemia","Metabolic","Disease"
"D0773","Hypogonadism,_hypergonadotropic","Endocrine","Disease"
"D0774","Hypogonadotropic_hypogonadism","Endocrine","Disease"
"D0775","Hypohaptoglobinemia","Hematological","Disease"
"D0776","Hypokalemic_periodic_paralysis","Renal","Disease"
"D0777","Hypolactasia,_adult_type","Metabolic","Disease"
"D0778","Hypomagnesemia","Renal","Disease"
"D0779","Hypoparathyroidism","Endocrine","Disease"
"D0780","Hypoparathyroidism-retardation-dysmorphism_syndrome","Endocrine","Disease"
"D0781","Hypoparathyroidism","Endocrine","Disease"
"D0782","Hypophosphatasia","Metabolic","Disease"
"D0783","Hypophosphatemia","Metabolic","Disease"
"D0784","Hypophosphatemic_rickets","Bone","Disease"
"D0785","Hypoplastic_enamel_pitting,_localized","Connective_tissue_disorder","Disease"
"D0786","Hypoprothrombinemia","Hematological","Disease"
"D0787","Hypothyroidism","Endocrine","Disease"
"D0788","Hypotrichosis","Dermatological","Disease"
"D0791","Hypouricemia","Renal","Disease"
"D0792","Hystrix-like_ichthyosis_with_deafness","multiple","Disease"
"D0793","Ichthyosiform_erythroderma","Dermatological","Disease"
"D0794","Ichthyosis","Dermatological","Disease"
"D0795","ICOS_deficiency","Immunological","Disease"
"D0797","IgE_levels_QTL","Immunological","Disease"
"D0798","IgG2_deficiency","Immunological","Disease"
"D0799","IgG_receptor_I,_phagocytic,_familial_deficiency_of","Immunological","Disease"
"D0801","Immunodeficiency-centromeric_instability-facial_anomalies_syndrome","multiple","Disease"
"D0802","Immunodeficiency","Immunological","Disease"
"D0803","Immunodysregulation,_polyendocrinopathy,_and_enteropathy,_X-linked","multiple","Disease"
"D0804","Immunoglobulin_A_deficiency","Immunological","Disease"
"D0805","Inclusion_body_myopathy","Muscular","Disease"
"D0806","Incontinentia_pigmenti","Dermatological","Disease"
"D0807","Infantile_spasm_syndrome","Neurological","Disease"
"D0809","Infundibular_hypoplasia_and_hypopituitarism","Endocrine","Disease"
"D0810","Inosine_triphosphatase_deficiency","Metabolic","Disease"
"D0811","Insensitivity_to_pain","Neurological","Disease"
"D0812","Insomnia","Psychiatric","Disease"
"D0814","Insulin_resistance","Metabolic","Disease"
"D0816","Interleukin-2_receptor,_alpha_chain,_deficiency_of","Immunological","Disease"
"D0817","Intervertebral_disc_disease","Neurological","Disease"
"D0819","Intrauterine_and_postnatal_growth_retardation","Developmental","Disease"
"D0820","Intrinsic_factor_deficiency","Hematological","Disease"
"D0821","IRAK4_deficiency","Immunological","Disease"
"D0822","Iridogoniodysgenesis","Ophthamological","Disease"
"D0823","Iris_hypoplasia_and_glaucoma","Ophthamological","Disease"
"D0824","Iron_overload/deficiency","Hematological","Disease"
"D0825","Isolated_growth_hormone_deficiency","Endocrine","Disease"
"D0826","Isovaleric_acidemia","Metabolic","Disease"
"D0827","Jackson-Weiss_syndrome","Skeletal","Disease"
"D0829","Jensen_syndrome","Neurological","Disease"
"D0830","Jervell_and_Lange-Nielsen_syndrome","multiple","Disease"
"D0831","Joubert_syndrome","multiple","Disease"
"D0832","Juberg-Marsidi_syndrome","multiple","Disease"
"D0833","Juvenile_polyposis/hereditary_hemorrhagic_telangiectasia_syndrome","Cancer","Disease"
"D0835","Kallikrein,_decreased_urinary_activity_of","Renal","Disease"
"D0836","Kallmann_syndrome","multiple","Disease"
"D0837","Kanzaki_disease","Metabolic","Disease"
"D0838","Kaposi_sarcoma","Immunological","Disease"
"D0839","Kappa_light_chain_deficiency","Immunological","Disease"
"D0840","Kartagener_syndrome","multiple","Disease"
"D0841","Kenny-Caffey_syndrome-1","multiple","Disease"
"D0842","Keratitis","Ophthamological","Disease"
"D0843","Keratitis-ichthyosis-deafness_syndrome","multiple","Disease"
"D0844","Keratoconus","Ophthamological","Disease"
"D0845","Keratoderma,_palmoplantar,_with_deafness","Dermatological","Disease"
"D0847","Keratosis_palmoplantaria_striata","Dermatological","Disease"
"D0848","Ketoacidosis","Metabolic","Disease"
"D0849","Keutel_syndrome","multiple","Disease"
"D0850","Kindler_syndrome","Dermatological","Disease"
"D0851","Kininogen_deficiency","Hematological","Disease"
"D0853","Klippel-Trenaunay_syndrome","multiple","Disease"
"D0854","Kniest_dysplasia","Skeletal","Disease"
"D0855","Knobloch_syndrome","multiple","Disease"
"D0856","Krabbe_disease","Neurological","Disease"
"D0857","L-2-hydroxyglutaric_aciduria","Metabolic","Disease"
"D0858","Lactate_dehydrogenase-B_deficiency","Metabolic","Disease"
"D0859","Lacticacidemia_due_to_PDX1_deficiency","Metabolic","Disease"
"D0862","Langer_mesomelic_dysplasia","Skeletal","Disease"
"D0863","Laron_dwarfism","Skeletal","Disease"
"D0865","Larson_syndrome","Skeletal","Disease"
"D0868","Laryngoonychocutaneous_syndrome","multiple","Disease"
"D0869","Lathosterolosis","Metabolic","Disease"
"D0870","LCHAD_deficiency","Metabolic","Disease"
"D0871","Lead_poisoning","Metabolic","Disease"
"D0872","Leanness,_inherited","Nutritional","Disease"
"D0873","Leber_congenital_amaurosis","Ophthamological","Disease"
"D0874","Left-right_axis_malformations","Developmental","Disease"
"D0875","Left_ventricular_noncompaction","Cardiovascular","Disease"
"D0876","Legionaire_disease","Immunological","Disease"
"D0877","Leigh_syndrome","Neurological","Disease"
"D0878","Leiomyomatosis","Cancer","Disease"
"D0880","Leopard_syndrome","multiple","Disease"
"D0881","Leprechaunism","Developmental","Disease"
"D0882","Leprosy","Immunological","Disease"
"D0883","Leri-Weill_dyschondrosteosis","Skeletal","Disease"
"D0884","Lesch-Nyhan_syndrome","Metabolic","Disease"
"D0886","Leukemia","Cancer","Disease"
"D0889","Leukocyte_adhesion_deficiency","Immunological","Disease"
"D0891","Leukoencephalopathy_with_vanishing_white_matter","Neurological","Disease"
"D0894","Leydig_cell_adenoma","Cancer","Disease"
"D0895","Lhermitte-Duclos_syndrome","Cancer","Disease"
"D0896","Liddle_syndrome","Renal","Disease"
"D0897","Li_Fraumeni_syndrome","Cancer","Disease"
"D0898","Li-Fraumeni_syndrome","Cancer","Disease"
"D0899","LIG4_syndrome","multiple","Disease"
"D0901","Limb-mammary_syndrome","multiple","Disease"
"D0902","Lipodystrophy","Metabolic","Disease"
"D0903","Lipoid_adrenal_hyperplasia","Endocrine","Disease"
"D0904","Lipoma","Cancer","Disease"
"D0906","Lipoprotein_lipase_deficiency","Metabolic","Disease"
"D0908","Lissencephaly","Neurological","Disease"
"D0909","Listeria_monocytogenes","Immunological","Disease"
"D0910","Loeys-Dietz_syndrome","Connective_tissue_disorder","Disease"
"D0911","Longevity","Developmental","Disease"
"D0912","Long_QT_syndrome","Cardiovascular","Disease"
"D0913","Lower_motor_neuron_disease,_progressive,_without_sensory_symptoms","Neurological","Disease"
"D0914","Lowe_syndrome","Metabolic","Disease"
"D0915","Low_renin_hypertension","Cardiovascular","Disease"
"D0916","LPA_deficiency,_congenital","Metabolic","Disease"
"D0917","Lumbar_disc_disease","Skeletal","Disease"
"D0918","Lung_cancer","Cancer","Disease"
"D0919","Lupus_erythematosus","Connective_tissue_disorder","Disease"
"D0920","Lymphangioleiomyomatosis","Respiratory","Disease"
"D0921","Lymphedema","Hematological","Disease"
"D0925","Lymphoma","Cancer","Disease"
"D0930","Lynch_cancer_family_syndrome_II","Cancer","Disease"
"D0931","Lysinuric_protein_intolerance","Metabolic","Disease"
"D0933","Machado-Joseph_disease","Neurological","Disease"
"D0935","Macrocytic_anemia","Hematological","Disease"
"D0936","Macrothrombocytopenia","Hematological","Disease"
"D0937","Macular_degeneration","Ophthamological","Disease"
"D0938","Maculopathy,_bull's-eye","Ophthamological","Disease"
"D0939","Major_depressive_disorder","Psychiatric","Disease"
"D0940","Malaria","Immunological","Disease"
"D0942","Malignant_hyperthermia_susceptibility","Neurological","Disease"
"D0943","Malonyl-CoA_decarboxylase_deficiency","Metabolic","Disease"
"D0944","MALT_lymphoma","Cancer","Disease"
"D0945","Mandibuloacral_dysplasia_with_type_B_lipodystrophy","multiple","Disease"
"D0947","Mannosidosis","Metabolic","Disease"
"D0948","Maple_syrup_urine_disease","Metabolic","Disease"
"D0950","Marfan_syndrome","Connective_tissue_disorder","Disease"
"D0952","Maroteaux-Lamy_syndrome","Metabolic","Disease"
"D0953","Marshall_syndrome","multiple","Disease"
"D0955","MASA_syndrome","multiple","Disease"
"D0956","MASP2_deficiency","Immunological","Disease"
"D0957","MASS_syndrome","Connective_tissue_disorder","Disease"
"D0958","Mast_cell_leukemia","Cancer","Disease"
"D0959","Mastocytosis_with_associated_hematologic_disorder","Immunological","Disease"
"D0960","Mast_syndrome","Neurological","Disease"
"D0961","May-Hegglin_anomaly","Hematological","Disease"
"D0962","McArdle_disease","Metabolic","Disease"
"D0963","McCune-Albright_syndrome","multiple","Disease"
"D0964","McKusick-Kaufman_syndrome","Developmental","Disease"
"D0965","McLeod_syndrome","Hematological","Disease"
"D0969","Medullary_cystic_kidney_disease","Renal","Disease"
"D0970","Medulloblastoma","Cancer","Disease"
"D0971","Meesmann_corneal_dystrophy","Ophthamological","Disease"
"D0973","Megakaryoblastic_leukemia,_acute","Cancer","Disease"
"D0974","Megalencephalic_leukoencephalopathy_with_subcortical_cysts","Neurological","Disease"
"D0975","Megaloblastic_anemia","Hematological","Disease"
"D0978","Melanoma","Cancer","Disease"
"D0979","Meleda_disease","Dermatological","Disease"
"D0981","Melnick-Needles_syndrome","Skeletal","Disease"
"D0982","Melorheostosis_with_osteopoikilosis","Developmental","Disease"
"D0984","Memory_impairment","Neurological","Disease"
"D0985","Meniere_disease","Neurological","Disease"
"D0986","Meningioma","Cancer","Disease"
"D0987","Meningococcal_disease","Immunological","Disease"
"D0988","Menkes_disease","Neurological","Disease"
"D0990","Mental_retardation","Neurological","Disease"
"D0991","Mephenytoin_poor_metabolizer","Metabolic","Disease"
"D0992","Merkel_cell_carcinoma","Cancer","Disease"
"D0993","Mesangial_sclerosis","Renal","Disease"
"D0995","Mesothelioma","Cancer","Disease"
"D0996","Metachromatic_leukodystrophy","Neurological","Disease"
"D0997","Metaphyseal_chondrodysplasia","Connective_tissue_disorder","Disease"
"D0999","Methemoglobinemia","Hematological","Disease"
"D1001","Methionine_adenosyltransferase_deficiency,_autosomal_recessive","Metabolic","Disease"
"D1002","Methylcobalamin_deficiency,_cblG_type","Metabolic","Disease"
"D1003","Methylmalonate_semialdehyde_dehydrogenase_deficiency","Metabolic","Disease"
"D1004","Methylmalonic_aciduria","Metabolic","Disease"
"D1005","Mevalonicaciduria","Metabolic","Disease"
"D1006","MHC_class_II_deficiency","Immunological","Disease"
"D1007","Microcephaly","Neurological","Disease"
"D1009","Microcoria-congenital_nephrosis_syndrome","Ophthamological","Disease"
"D1011","Micropenis","Renal","Disease"
"D1012","Microphthalmia","Ophthamological","Disease"
"D1013","Migraine","Neurological","Disease"
"D1014","Miller-Dieker_lissencephaly","multiple","Disease"
"D1016","Mitochondrial_complex_deficiency","multiple","Disease"
"D1018","Miyoshi_myopathy","Muscular","Disease"
"D1020","MODY","Endocrine","Disease"
"D1022","Mohr-Tranebjaerg_syndrome","Neurological","Disease"
"D1023","Molybdenum_cofactor_deficiency","Metabolic","Disease"
"D1024","Monilethrix","Dermatological","Disease"
"D1026","Morning_glory_disc_anomaly","Skeletal","Disease"
"D1028","Mowat-Wilson_syndrome","Developmental","Disease"
"D1029","Moyamoya_disease","Neurological","Disease"
"D1030","Muckle-Wells_syndrome","multiple","Disease"
"D1031","Mucoepidermoid_salivary_gland_carcinoma","Cancer","Disease"
"D1032","Mucolipidosis","Metabolic","Disease"
"D1033","Mucopolysaccharidosis","Metabolic","Disease"
"D1034","Muenke_syndrome","Skeletal","Disease"
"D1035","Muir-Torre_syndrome","Cancer","Disease"
"D1036","Mulibrey_nanism","multiple","Disease"
"D1037","Multiple_endocrine_neoplasia","Cancer","Disease"
"D1038","Muscle-eye-brain_disease","multiple","Disease"
"D1039","Muscle_hypertrophy","Muscular","Disease"
"D1040","Muscular_dystrophy","Muscular","Disease"
"D1041","Myasthenia","Muscular","Disease"
"D1042","Myasthenic_syndrome","Muscular","Disease"
"D1043","Mycobacterial_infection","Immunological","Disease"
"D1045","Myelodysplastic_syndrome","Muscular","Disease"
"D1046","Myelofibrosis,_idiopathic","Hematological","Disease"
"D1047","Myelogenous_leukemia","Cancer","Disease"
"D1049","Myelokathexis,_isolated","Immunological","Disease"
"D1050","Myelomonocytic_leukemia,_chronic","Cancer","Disease"
"D1051","Myeloperoxidase_deficiency","Immunological","Disease"
"D1052","Myeloproliferative_disorder","Cancer","Disease"
"D1053","Myoadenylate_deaminase_deficiency","Muscular","Disease"
"D1054","Myocardial_infarction","Cardiovascular","Disease"
"D1055","Myoclonic_epilepsy","Neurological","Disease"
"D1056","Myoglobinuria/hemolysis_due_to_PGK_deficiency","Metabolic","Disease"
"D1057","Myokymia_with_neonatal_epilepsy","Neurological","Disease"
"D1058","Myoneurogastrointestinal_encephalomyopathy_syndrome","multiple","Disease"
"D1059","Myopathy","Muscular","Disease"
"D1061","Myotilinopathy","Muscular","Disease"
"D1062","Myotonia_congenita","Muscular","Disease"
"D1063","Myotonic_dystrophy","Muscular","Disease"
"D1064","Myotubular_myopathy","Muscular","Disease"
"D1065","Myxoid_liposarcoma","Cancer","Disease"
"D1066","Myxoma,_intracardiac","Cardiovascular","Disease"
"D1067","N-acetylglutamate_synthase_deficiency","Metabolic","Disease"
"D1070","Nail-patella_syndrome","multiple","Disease"
"D1071","Nance-Horan_syndrome","Ophthamological","Disease"
"D1073","Narcolepsy","Psychiatric","Disease"
"D1074","Nasopharyngeal_carcinoma","Cancer","Disease"
"D1075","Nasu-Hakola_disease","Bone","Disease"
"D1077","Naxos_disease","multiple","Disease"
"D1078","Nemaline_myopathy","Muscular","Disease"
"D1080","Nephrogenic_syndrome_of_inappropriate_antidiuresis","Renal","Disease"
"D1081","Nephrolithiasis","Renal","Disease"
"D1082","Nephronophthisis","Renal","Disease"
"D1084","Nephropathy-hypertension","Renal","Disease"
"D1085","Nephropathy","Renal","Disease"
"D1087","Nephrotic_syndrome","Renal","Disease"
"D1088","Netherton_syndrome","Dermatological","Disease"
"D1090","Neural_tube_defects,_maternal_risk_of","Developmental","Disease"
"D1091","Neuroblastoma","Cancer","Disease"
"D1092","Neurodegeneration","Neurological","Disease"
"D1093","Neuroectodermal_tumors","multiple","Disease"
"D1095","Neurofibromatosis","Cancer","Disease"
"D1096","Neurofibromatosis-Noonan_syndrome","Cancer","Disease"
"D1097","Neurofibromatosis","Cancer","Disease"
"D1098","Neurofibrosarcoma","Cancer","Disease"
"D1099","Neuropathy","Neurological","Disease"
"D1101","Neutropenia","Hematological","Disease"
"D1102","Neutrophil_immunodeficiency_syndrome","Immunological","Disease"
"D1103","Nevo_syndrome","Connective_tissue_disorder","Disease"
"D1104","Nevus,_epidermal,_epidermolytic_hyperkeratotic_type","Dermatological","Disease"
"D1105","Newfoundland_rod-cone_dystrophy","Ophthamological","Disease"
"D1106","Nicotine_addiction","Psychiatric","Disease"
"D1107","Niemann-Pick_disease","Metabolic","Disease"
"D1110","Night_blindness","Ophthamological","Disease"
"D1111","Nijmegen_breakage_syndrome","multiple","Disease"
"D1112","Nonaka_myopathy","Muscular","Disease"
"D1113","Noncompaction_of_left_ventricular_myocardium","Cardiovascular","Disease"
"D1114","Non-Hodgkin_lymphoma","Cancer","Disease"
"D1115","Nonsmall_cell_lung_cancer","Cancer","Disease"
"D1116","Noonan_syndrome","Developmental","Disease"
"D1117","Norrie_disease","Neurological","Disease"
"D1118","Norum_disease","Metabolic","Disease"
"D1119","Norwalk_virus_infection,_resistance_to","Immunological","Disease"
"D1122","Nucleoside_phosphorylase_deficiency,_immunodeficiency_due_to","Immunological","Disease"
"D1126","Obesity","Nutritional","Disease"
"D1128","Obsessive-compulsive_disorder","Psychiatric","Disease"
"D1129","Occipital_horn_syndrome","multiple","Disease"
"D1130","Ocular_albinism","Ophthamological","Disease"
"D1132","Oculodentodigital_dysplasia","Skeletal","Disease"
"D1133","Oculofaciocardiodental_syndrome","multiple","Disease"
"D1135","Oculopharyngeal_muscular_dystorphy","Muscular","Disease"
"D1136","Odontohypophosphatasia","Bone","Disease"
"D1137","Oguchi_disease","Ophthamological","Disease"
"D1138","Oligodendroglioma","Cancer","Disease"
"D1139","Oligodontia","Skeletal","Disease"
"D1140","Oligodontia-colorectal_cancer_syndrome","Cancer","Disease"
"D1141","Omenn_syndrome","Immunological","Disease"
"D1142","Opitz_G_syndrome","multiple","Disease"
"D1143","Opremazole_poor_metabolizer","Metabolic","Disease"
"D1144","Optic_atrophy","Ophthamological","Disease"
"D1145","Oral-facial-digital_syndrome","Skeletal","Disease"
"D1146","Ornithine_transcarbamylase_deficiency","Metabolic","Disease"
"D1147","Orofacial_cleft","Skeletal","Disease"
"D1148","Orolaryngeal_cancer","Cancer","Disease"
"D1149","Oroticaciduria","Metabolic","Disease"
"D1150","Orthostatic_intolerance","Cardiovascular","Disease"
"D1151","OSMED_syndrome","Bone","Disease"
"D1152","Osseous_heteroplasia","Bone","Disease"
"D1153","Ossification_of_the_posterior_longitudinal_spinal_ligaments","Connective_tissue_disorder","Disease"
"D1154","Osteoarthritis","Connective_tissue_disorder","Disease"
"D1156","Osteogenesis_imperfecta","Bone","Disease"
"D1157","Osteolysis","Bone","Disease"
"D1161","Osteopetrosis","Bone","Disease"
"D1162","Osteopoikilosis","Bone","Disease"
"D1163","Osteoporosis","Bone","Disease"
"D1164","Osteoporosis-pseudoglioma_syndrome","Bone","Disease"
"D1165","Osteoporosis","Bone","Disease"
"D1166","Osteosarcoma","Cancer","Disease"
"D1168","Otopalatodigital_syndrome","multiple","Disease"
"D1170","Ovarian_cancer","Cancer","Disease"
"D1171","Ovarioleukodystrophy","Neurological","Disease"
"D1172","Pachyonychia_congenita","Dermatological","Disease"
"D1173","Paget_disease","Bone","Disease"
"D1174","Pallidopontonigral_degeneration","Neurological","Disease"
"D1175","Pallister-Hall_syndrome","multiple","Disease"
"D1176","Palmoplantar_keratoderma","Dermatological","Disease"
"D1178","Pancreatic_cancer","Cancer","Disease"
"D1179","Pancreatitis","Gastrointestinal","Disease"
"D1183","Papillary_serous_carcinoma_of_the_peritoneum","Cancer","Disease"
"D1184","Papillon-Lefevre_syndrome","multiple","Disease"
"D1186","Paragangliomas","Cancer","Disease"
"D1188","Paramyotonia_congenita","Muscular","Disease"
"D1189","Parathyroid_adenoma","Cancer","Disease"
"D1190","Parietal_foramina","Skeletal","Disease"
"D1191","Parkes_Weber_syndrome","multiple","Disease"
"D1192","Parkinson_disease","Neurological","Disease"
"D1195","Paroxysmal_kinesigenic_choreoathetosis","Neurological","Disease"
"D1196","Partington_syndrome","Neurological","Disease"
"D1198","PCWH","Neurological","Disease"
"D1199","Pelger-Huet_anomaly","Hematological","Disease"
"D1200","Pelizaeus-Merzbacher_disease","Neurological","Disease"
"D1201","NULL","Neurological","Disease"
"D1204","Pendred_syndrome","Ear,Nose,Throat","Disease"
"D1205","Perineal_hypospadias","Endocrine","Disease"
"D1206","Periodic_fever,_familial","Immunological","Disease"
"D1207","Periodontitis","Ear,Nose,Throat","Disease"
"D1209","Periventricular_heterotopia_with_microcephaly","Neurological","Disease"
"D1210","Peroxisomal_biogenesis_disorder","multiple","Disease"
"D1212","Persistent_Mullerian_duct_syndrome","Developmental","Disease"
"D1213","Peters_anomaly","Developmental","Disease"
"D1214","Peutz-Jeghers_syndrome","Cancer","Disease"
"D1215","Pfeiffer_syndrome","Skeletal","Disease"
"D1216","Phenylketonuria","Metabolic","Disease"
"D1217","Phenylthiocarbamide_tasting","Ear,Nose,Throat","Disease"
"D1218","Pheochromocytoma","Cancer","Disease"
"D1220","Phosphoglycerate_dehydrogenase_deficiency","Metabolic","Disease"
"D1221","Phosphoribosyl_pyrophosphate_synthetase-related_gout","Metabolic","Disease"
"D1222","Phosphorylase_kinase_deficiency_of_liver_and_muscle,_autosomal_recessive","Metabolic","Disease"
"D1223","Phosphoserine_phosphatase_deficiency","Metabolic","Disease"
"D1225","Pick_disease","Neurological","Disease"
"D1226","Piebaldism","Dermatological","Disease"
"D1227","Pigmentation_of_hair,_skin,_and_eyes,_variation_in","Dermatological","Disease"
"D1229","Pigmented_paravenous_chorioretinal_atrophy","Ophthamological","Disease"
"D1230","Pilomatricoma","Cancer","Disease"
"D1232","Pituitary_ACTH-secreting_adenoma","Cancer","Disease"
"D1233","Placental_abruption","Unclassified","Disease"
"D1234","Plasmin_inhibitor_deficiency","Hematological","Disease"
"D1235","Plasminogen_deficiency","Hematological","Disease"
"D1237","Platelet_defect/deficiency","Hematological","Disease"
"D1238","Pneumonitis,_desquamative_interstitial","Respiratory","Disease"
"D1239","Pneumothorax,_primary_spontaneous","Respiratory","Disease"
"D1241","Polycystic_kidney_disease","Renal","Disease"
"D1242","Polycythemia","Hematological","Disease"
"D1243","Polydactyly","Skeletal","Disease"
"D1244","Polymicrogyria","Neurological","Disease"
"D1245","Polyposis","Cancer","Disease"
"D1246","Popliteal_pterygium_syndrome","multiple","Disease"
"D1247","Porencephaly","Neurological","Disease"
"D1249","Porphyria","Metabolic","Disease"
"D1253","PPM-X_syndrome","Neurological","Disease"
"D1254","Prader-Willi_syndrome","multiple","Disease"
"D1256","Precocious_puberty,_male","Developmental","Disease"
"D1257","Preeclampsia","Cardiovascular","Disease"
